"id";"kata"
"1";"acak"
"2";"aduk"
"3";"akhir"
"4";"ambil"
"5";"ampun"
"6";"ancam"
"7";"angkat"
"8";"antar"
"9";"arak"
"10";"atur"
"11";"bakar"
"12";"bangun"
"13";"banting"
"14";"bentak"
"15";"bentang"
"16";"bingkai"
"17";"bisik"
"18";"bonceng"
"19";"buat"
"20";"bunuh"
"21";"cakar"
"22";"centang"
"23";"contek"
"24";"dapat"
"25";"datang"
"26";"dengar"
"27";"dulang"
"28";"hambat"
"29";"hancur"
"30";"hantar"
"31";"hilang"
"32";"hisap"
"33";"lihat"
"34";"makan"
"35";"minum"
"36";"pancung"
"37";"pegang"
"38";"petik"
"39";"pikat"
"40";"pisah"
"41";"poles"
"42";"potong"
"43";"pukul"
"44";"putar"
"45";"sumpah"
"46";"tambal"
"47";"tarik"
"48";"tekan"
"49";"tekuk"
"50";"tembak"
"51";"tembus"
"52";"tendang"
"53";"tidur"
"54";"timpah"
"55";"tindih"
"56";"tiup"
"57";"todong"
"58";"tolong"
"59";"topang"
"60";"tuduh"
"61";"tukar"
"62";"tumbur"
"63";"tumpah"
"64";"tunda"
"65";"tunjang"
"66";"turun"
"67";"tusuk"
"68";"ulur"
"69";"umbar"
"70";"umpat"
"71";"undang"
"72";"ungkap"
"73";"ungkit"
"74";"usap"
